order_book_id,date,institute,price_raw,price_prd,grd_coef,grd_prd,rice_create_tm,create_tm,quarter_recommendation,half_year_target_price,half_year_recommendation,one_year_target_price,one_year_recommendation
000050.XSHE,2015-02-09,东北证券,,,2,1,2015-02-09 14:54:11,2015-02-09 14:54:11,2.0,,,,
000050.XSHE,2015-02-13,国海证券,,,2,1,2015-02-16 09:07:31,2015-02-16 09:07:31,2.0,,,,
000050.XSHE,2015-04-29,财信证券,22.1250,M06,3,1,2015-04-30 21:31:13,2015-04-30 21:31:13,3.0,22.125,,,
000050.XSHE,2015-05-11,财信证券,,,2,1,2015-05-19 16:48:07,2015-05-19 16:48:07,2.0,,,,
000050.XSHE,2015-06-08,财信证券,,,2,1,2015-06-09 16:01:49,2015-06-09 16:01:49,2.0,,,,
000050.XSHE,2015-07-20,Morgan Stanley,40.5000,M06,2,1,2015-07-23 21:31:27,2015-07-23 21:31:27,2.0,40.5,,,
000050.XSHE,2015-07-21,方正证券,,,1,1,2015-07-21 21:31:12,2015-07-21 21:31:12,1.0,,,,
000050.XSHE,2015-07-27,财信证券,,,2,1,2015-07-29 11:03:18,2015-07-29 11:03:18,2.0,,,,
000050.XSHE,2015-08-04,财信证券,,,2,1,2015-08-05 21:31:25,2015-08-05 21:31:25,2.0,,,,
000050.XSHE,2015-08-20,东北证券,,,1,1,2015-08-20 21:32:19,2015-08-20 21:32:19,1.0,,,,
000050.XSHE,2015-08-20,方正证券,,,1,1,2015-08-20 21:32:19,2015-08-20 21:32:19,1.0,,,,
000050.XSHE,2015-08-24,方正证券,,,1,1,2015-08-24 21:30:49,2015-08-24 21:30:49,1.0,,,,
000050.XSHE,2015-08-24,东北证券,,,1,1,2015-08-24 21:30:49,2015-08-24 21:30:49,1.0,,,,
000050.XSHE,2015-08-25,财信证券,24.0000,M06,2,1,2015-08-25 16:21:18,2015-08-25 16:21:18,2.0,24.0,,,
000050.XSHE,2015-09-01,财信证券,,,2,1,2015-09-02 21:31:08,2015-09-02 21:31:08,2.0,,,,
000050.XSHE,2015-09-14,国海证券,,,1,1,2015-09-14 21:31:15,2015-09-14 21:31:15,1.0,,,,
000050.XSHE,2015-09-15,财信证券,,,2,1,2015-09-17 21:31:48,2015-09-17 21:31:48,2.0,,,,
000050.XSHE,2015-10-08,财信证券,,,2,1,2015-10-12 17:52:52,2015-10-12 17:52:52,2.0,,,,
000050.XSHE,2015-10-23,方正证券,,,1,1,2015-10-27 21:31:06,2015-10-27 21:31:06,1.0,,,,
000050.XSHE,2015-11-02,财信证券,24.0000,M06,2,1,2015-11-04 10:16:19,2015-11-04 10:16:19,2.0,24.0,,,
000050.XSHE,2015-11-30,方正证券,,,1,1,2015-12-03 11:02:40,2015-12-03 11:02:40,1.0,,,,
000050.XSHE,2015-12-08,国海证券,,,1,1,2015-12-09 11:03:18,2015-12-09 11:03:18,1.0,,,,
000050.XSHE,2015-12-14,东北证券,,,1,1,2015-12-15 11:48:45,2015-12-15 11:48:45,1.0,,,,
000050.XSHE,2015-12-30,银河证券,,,1,1,2015-12-31 16:20:25,2015-12-31 16:20:25,1.0,,,,
000050.XSHE,2016-01-08,银河证券,,,1,1,2016-01-11 12:11:30,2016-01-11 12:11:30,1.0,,,,
000050.XSHE,2016-01-19,财信证券,,,2,1,2016-01-21 12:13:22,2016-01-21 12:13:22,2.0,,,,
000050.XSHE,2016-01-28,兴业证券,,,2,1,2016-01-28 17:30:24,2016-01-28 17:30:24,2.0,,,,
000050.XSHE,2016-01-31,兴业证券,,,2,1,2016-02-01 11:49:13,2016-02-01 11:49:13,2.0,,,,
000050.XSHE,2016-02-03,兴业证券,,,2,1,2016-02-03 16:20:59,2016-02-03 16:20:59,2.0,,,,
000050.XSHE,2016-02-18,银河证券,,,1,1,2016-02-19 12:11:38,2016-02-19 12:11:38,1.0,,,,
000050.XSHE,2016-02-19,兴业证券,,,2,1,2016-02-19 12:11:38,2016-02-19 12:11:38,2.0,,,,
000050.XSHE,2016-02-23,东北证券,,,1,1,2016-02-23 16:21:03,2016-02-23 16:21:03,1.0,,,,
000050.XSHE,2016-02-25,华鑫证券,,,2,1,2016-02-26 10:16:19,2016-02-26 10:16:19,2.0,,,,
000050.XSHE,2016-02-28,兴业证券,,,2,1,2016-02-29 13:20:47,2016-02-29 13:20:47,2.0,,,,
000050.XSHE,2016-03-01,财信证券,,,2,1,2016-03-03 14:52:25,2016-03-03 14:52:25,2.0,,,,
000050.XSHE,2016-03-06,兴业证券,,,2,1,2016-03-07 10:16:38,2016-03-07 10:16:38,2.0,,,,
000050.XSHE,2016-03-09,银河证券,,,1,1,2016-03-10 13:44:27,2016-03-10 13:44:27,1.0,,,,
000050.XSHE,2016-03-10,兴业证券,,,2,1,2016-03-11 10:16:24,2016-03-11 10:16:24,2.0,,,,
000050.XSHE,2016-03-13,兴业证券,,,2,1,2016-03-14 10:16:34,2016-03-14 10:16:34,2.0,,,,
000050.XSHE,2016-03-20,兴业证券,,,2,1,2016-03-21 12:11:28,2016-03-21 12:11:28,2.0,,,,
000050.XSHE,2016-03-27,兴业证券,,,2,1,2016-03-28 10:16:51,2016-03-28 10:16:51,2.0,,,,
000050.XSHE,2016-03-31,财信证券,,,2,1,2016-04-06 16:24:49,2016-04-06 16:24:49,2.0,,,,
000050.XSHE,2016-04-01,财信证券,,,2,1,2016-04-06 16:24:49,2016-04-06 16:24:49,2.0,,,,
000050.XSHE,2016-04-04,国泰海通证券,25.0000,M06,1,1,2016-04-05 13:21:19,2016-04-05 13:21:19,1.0,25.0,,,
000050.XSHE,2016-04-05,东北证券,,,1,1,2016-04-06 14:52:34,2016-04-06 14:52:34,1.0,,,,
000050.XSHE,2016-04-09,兴业证券,,,2,1,2016-04-11 14:30:30,2016-04-11 14:30:30,2.0,,,,
000050.XSHE,2016-04-19,西南证券,,,1,1,2016-04-19 16:23:53,2016-04-19 16:23:53,1.0,,,,
000050.XSHE,2016-04-24,兴业证券,,,2,1,2016-04-25 16:21:40,2016-04-25 16:21:40,2.0,,,,
000050.XSHE,2016-04-27,渤海证券,,,2,1,2016-04-28 12:57:54,2016-04-28 12:57:54,2.0,,,,
