date,order_book_id,size,non_linear_size,momentum,liquidity,book_to_price,leverage,growth,earnings_yield,beta,residual_volatility,comovement,银行,计算机,环保,商贸零售,电力设备,建筑装饰,建筑材料,农林牧渔,电子,交通运输,汽车,纺织服饰,医药生物,房地产,通信,公用事业,综合,机械设备,石油石化,有色金属,传媒,家用电器,基础化工,非银金融,社会服务,轻工制造,国防军工,美容护理,煤炭,食品饮料,钢铁
2018-07-06,002465.XSHE,-0.34805066490337216,0.6065668440651732,-0.899840109628592,1.3225518241550134,-0.7502179348464971,-1.166596278615131,-0.37405452379099935,-1.5765636823726104,0.11354956098781145,0.7497211575239221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-09,002465.XSHE,-0.3660461428238493,0.6241623699682755,-0.9634830862141339,1.2879859492459274,-0.7278294535686942,-1.1673194439962176,-0.3992619233666184,-1.5713623228741522,-0.01251543357634005,0.7437998560219776,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-10,002465.XSHE,-0.36668254628860864,0.6262139683367995,-0.9320773501465363,1.2670179640741857,-0.7182505860602918,-1.1659296740153773,-0.4000370907660419,-1.5634507957760375,-0.022438501071871658,0.7479878081498602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-11,002465.XSHE,-0.3836796539381514,0.6405654601116734,-0.9513732600473201,1.2616812225363476,-0.7001539307672665,-1.1629340117314841,-0.4015427502330747,-1.5477860263825889,0.04134869493781578,0.691774499851936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-12,002465.XSHE,-0.3915869067512541,0.6452453517212734,-1.0111398752070908,1.247703419196239,-0.6907397374096903,-1.161127336357605,-0.40332615989568,-1.53899968288745,-0.004982109694878131,0.6623357330362966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-13,002465.XSHE,-0.3738668285514035,0.6331693337118628,-1.0133156366066316,1.2353663479410557,-0.7061581838328359,-1.1595968930976146,-0.4078028080688872,-1.5386529004462468,0.005118970642590085,0.6426975559602938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-16,002465.XSHE,-0.3485720716396177,0.6104352899873274,-1.188569047723552,1.2340939145988414,-0.7314694654330282,-1.1575709939913095,-0.40862838441321525,-1.546726789859727,-0.016202178745528775,0.635789617221416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-17,002465.XSHE,-0.352270028692083,0.6133901565235919,-1.3522330117412633,1.2207436886619414,-0.7247382098215546,-1.157830050060433,-0.40518770997171294,-1.5383815943374488,-0.015632031314903216,0.6633671300007055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-18,002465.XSHE,-0.3565933982241998,0.618544897927912,-1.2087996184484497,1.2117021957387006,-0.7236750801084353,-1.160271253333296,-0.45543291432170663,-1.5426565376905486,-0.005240184219506856,0.7238756374539591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-07-19,002465.XSHE,-0.36227333859087046,0.6250361281670944,-0.8007213056102497,1.195745320940895,-0.7167262893371122,-1.1600403911586539,-0.4561113953301116,-1.539070421988508,0.0070706126560129865,0.6541625937129317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
